OBJECTID,FACILITYID,SUBTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_FT,RIM_ELEV,INVERT1,INVERT2,INVERT3,INVERT4,INVERT5,INVERT6,DEPTH,COMMENTS,GROUNDELEVATION,ENABLED,x,y
1,48221STMH,1,PRIV,ACT,8/11/1998 12:00:00 AM,,,5523.89,5523.6,,,,,8.6,,5531.48,1,3120508.65642223,1648892.43232656
2,47410STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,,,,,,,,,5542.7,1,3121142.47470839,1648991.14079055
3,47407STMH,1,DPUB,ACT,,,,5515.45,5515.19,,,,,,MANHOLE,5522,1,3123288.59869698,1649011.75721914
4,47406STMH,1,DPUB,ACT,,,,5511.89,5513.09,,,,,,MANHOLE,5520,1,3123519.16221222,1649013.08792514
5,47405STMH,1,DPUB,ACT,,,,5515.96,5516.41,,,,,,MANHOLE,5522,1,3123837.05166832,1649014.93962747
6,47404STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5538.45,5538.25,5537.75,,,,7.2,,5542.69,1,3121169.45956255,1649029.0275258
7,47401STMH,1,DPUB,ACT,,,,5562.06,5561.88,,,,,,,5567.08,1,3115068.03574181,1649041.25748822
8,47400STMH,1,DPUB,ACT,3/21/1997 12:00:00 AM,,,5515.25,5515.15,,,,,8,MANHOLE,5520,1,3123519.46568932,1649055.36736813
9,47398STMH,1,DPUB,ACT,,,,5518.82,5518.62,,,,,,MANHOLE,5524,1,3123062.7090569,1649075.98740563
10,47397STMH,1,DPUB,ACT,,,,5557.81,5558.22,,,,,,,5566,1,3115020.37376365,1649081.31121388
11,47396STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5546.64,5546.51,,,,,6.9,,5552,1,3121560.7120609,1649127.00895713
12,47393STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5541.89,5541.19,,,,,9.6,,5548,1,3121169.55437864,1649153.50234246
13,47392STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5542.78,5542.78,5542.38,5542.08,,,8.5,,5548,1,3121198.93949048,1649153.73528163
14,47391STMH,1,DPUB,ACT,1/10/1996 12:00:00 AM,,,5544.06,5543.86,,,,,7.8,,5549.93,1,3121348.70198622,1649154.91638163
15,47390STMH,1,DPUB,ACT,,,,5556.59,5556.37,,,,,,,5566.29,1,3114944.91230039,1649155.47641988
16,47388STMH,1,DPUB,ACT,,,,5548.44,,,,,,3.49,,5551.93,1,3121552.80984573,1649164.8304038
17,47384STMH,1,DPUB,ACT,3/21/1997 12:00:00 AM,,,5516.51,5516.41,,,,,7,,5522,1,3123517.37120531,1649183.32052431
18,47382STMH,1,DPUB,ACT,3/21/1997 12:00:00 AM,,,5517.08,5516.93,,,,,6.7,,5522,1,3123599.6705814,1649185.33364363
19,47381STMH,1,DPUB,ACT,10/31/1996 12:00:00 AM,,,5525.45,5525.35,,,,,7.5,,5532,1,3122649.63836072,1649199.44811672
20,47379STMH,1,DPUB,ACT,,,,5521.27,5521.62,,,,,,MANHOLE,5527.57,1,3122872.28096007,1649202.85230938
21,47377STMH,1,DPUB,ACT,3/21/1997 12:00:00 AM,,,5517.65,5517.5,,,,,6.8,,5522,1,3123647.14719248,1649232.3971978
22,47372STMH,1,DPUB,ACT,10/31/1996 12:00:00 AM,,,5524.13,5524.13,,,,,7.6,MANHOLE,5530.24,1,3122743.87504889,1649266.65533139
23,47369STMH,1,DPUB,ACT,,,,5523.55,5523.84,,,,,,MANHOLE,5529.59,1,3122792.44877064,1649299.58111855
24,47367STMH,1,DPUB,ACT,,,,5524.3,,,,,,,MANHOLE,5530,1,3122778.93829899,1649315.33666447
25,47357STMH,1,DPUB,ACT,3/21/1997 12:00:00 AM,,,5519.36,5519.21,5519.01,,,,6.5,,5524,1,3123646.67770523,1649469.02008413
26,47350STMH,1,PRIV,ACT,,,,,,,,,,,,5588.87,1,3113611.45007232,1649569.54612979
27,47348STMH,1,DPUB,ACT,,,,5562.91,,,,,,,,5570,1,3115023.62703797,1649606.27309047
28,47347STMH,1,DPUB,ACT,,,,5559.42,,,,,,,,5570,1,3114841.47484323,1649608.60051364
29,47345STMH,1,DPUB,ACT,,,,5534.14,5533.74,,,,,,MANHOLE,5541.18,1,3122564.37704831,1649625.78289397
30,47339STMH,1,DPUB,ACT,,,,5578.88,,,,,,,,5582.49,1,3113846.43615089,1649705.43463755
31,47337STMH,1,DPUB,ACT,,,,5574.93,5574.59,,,,,,,5579.28,1,3113991.03920814,1649707.00189163
32,47336STMH,1,DPUB,ACT,,,,5568.47,5568.47,,,,,,,5573.7,1,3114228.68965147,1649709.64394672
33,47335STMH,1,DPUB,ACT,,,,5570.08,5570.08,,,,,,,5574.16,1,3114174.09625673,1649709.83948438
34,47333STMH,1,PRIV,ACT,,,,,,,,,,,,5548,1,3116831.4734879,1649731.18064904
35,47332STMH,1,PRIV,ACT,7/26/2001 12:00:00 AM,,,5536.93,5533.25,5537.25,,,,,NOT MAINTAINED BY CITY,5542.05,1,3122757.96294723,1649733.83648363
36,47330STMH,1,DPUB,ACT,,,,5537.7,5537.3,,,,,,MANHOLE,5544,1,3122450.3303604,1649756.88400972
37,47328STMH,1,PRIV,ACT,,,,,,,,,,,,5548,1,3116855.68242897,1649772.2917873
38,47326STMH,1,PRIV,ACT,,,,,,,,,,,,5548.06,1,3116718.97338481,1649786.51846488
39,481046STMH,1,PRIV,ACT,11/12/2004 12:00:00 AM,4,,5562.57,5562.45,,,,,,,5570.09,1,3114381.49774481,1649803.70806305
40,47324STMH,1,DPUB,ACT,,,,5540.43,5540.18,,,,,,MANHOLE,5546.19,1,3122358.86728872,1649827.59777905
41,481047STMH,1,PRIV,ACT,11/12/2004 12:00:00 AM,4,,5563.59,5563.53,5563.57,,,,,,5571,1,3114381.47805981,1649827.70834313
42,495919STMH,1,PRIV,ACT,9/11/2006 12:00:00 AM,4,,5568.56,5568.46,,,,,,,5570.87,1,3114411.75424598,1649835.08595304
43,495918STMH,1,PRIV,ACT,9/11/2006 12:00:00 AM,4,,5569.02,5568.89,,,,,,,5570.72,1,3114435.55406715,1649835.08628114
44,47323STMH,1,DPUB,ACT,5/6/1997 12:00:00 AM,,,5552.35,5552.15,,,,,8.6,,5558.46,1,3121252.0473239,1649852.31885822
45,47315STMH,1,DPUB,ACT,1/1/2001 12:00:00 AM,,,5551.35,5551.43,,,,,,MANHOLE,5558,1,3121422.74284865,1649877.30962189
46,47314STMH,1,DPUB,ACT,,,,5542.04,5541.73,,,,,,MANHOLE,5548.4,1,3122268.95867589,1649878.3151973
47,47313STMH,1,PRIV,ACT,,,,,,,,,,,,5554,1,3116250.97596122,1649881.57437713
48,47312STMH,1,PRIV,ACT,7/26/2001 12:00:00 AM,,,5540.94,5539.19,5543.19,,,,,MANHOLE,5546,1,3122599.24410456,1649883.06387547
49,47307STMH,1,PRIV,ACT,7/26/2001 12:00:00 AM,,,5540.83,5546,,,,,,MANHOLE,5548,1,3122820.5520609,1649899.62453789
50,47304STMH,1,DPUB,ACT,5/6/1997 12:00:00 AM,,,5552.89,5552.52,,,,,8.2,,5558.94,1,3121243.5355299,1649901.96574055
51,481048STMH,1,DPUB,ACT,,4,,,5565.06,5564.98,5564.81,,,,,5572,1,3114380.31336398,1649914.70029514
52,47300STMH,1,PRIV,ACT,,,,5544.29,5544.53,,,,,,,5552,1,3119535.09832998,1649914.75475697
53,495917STMH,1,PRIV,ACT,9/11/2006 12:00:00 AM,4,,5569.43,5569.48,,,,,,,5572.21,1,3114435.55406715,1649918.8859823
54,411720STMH,1,DPUB,ACT,5/28/1998 12:00:00 AM,5,,5543.94,5543.74,,,,,4.1,,5548.41,1,3122313.55832423,1649923.06937288
55,47293STMH,1,DPUB,ACT,,,,5545.72,5545.47,,,,,,MANHOLE,5552,1,3122096.21164607,1649927.17566389
56,47292STMH,1,DPUB,ACT,,,,5548.04,5547.85,,,,,,MANHOLE,5554,1,3121837.37423722,1649936.97551306
57,47289STMH,1,PRIV,ACT,,,,,,,,,,,,5548.09,1,3116957.6917394,1649960.7067648
58,47288STMH,1,PRIV,ACT,,,,,,,,,,,,5554,1,3116219.92024906,1649961.27598938
59,47286STMH,1,PRIV,ACT,,,,5545.58,5545.51,,,,,,,5554,1,3116216.54099073,1649969.10963513
60,47285STMH,1,PRIV,ACT,,,,5541.39,5541.09,,,,,,MANHOLE,5548,1,3122483.95562123,1649977.96362005
61,47278STMH,1,DPUB,ACT,5/6/1997 12:00:00 AM,,,5553.3,,,,,,7,,5560,1,3121223.95223573,1650026.92251164
62,47274STMH,1,DPUB,ACT,,,,5563.25,,,,,,,,5570,1,3114718.95934023,1650057.7951533
63,411719STMH,1,DPUB,ACT,5/28/1998 12:00:00 AM,5,,5545.09,5544.84,,,,,4.1,,5550.03,1,3122393.18054031,1650063.57762206
64,411717STMH,1,DPUB,ACT,5/28/1998 12:00:00 AM,,,5547.24,5546.89,,,,,4.2,,5552,1,3122208.96601373,1650120.11359821
65,47262STMH,1,PRIV,ACT,,,,,,,,,,,,5548,1,3117047.49897447,1650131.20117447
66,411714STMH,1,DPUB,ACT,5/28/1998 12:00:00 AM,,,5550.34,5550.19,,,,,3.6,,5556,1,3121781.81857406,1650139.26775938
67,47259STMH,1,DPUB,ACT,,,,5520.95,,,,,,5.68,,5526.63,1,3123644.11996756,1650139.39866464
68,411718STMH,1,DPUB,ACT,5/28/1998 12:00:00 AM,,,5546.38,5546.28,5545.68,,,,4.8,,5552,1,3122267.77002998,1650139.76578988
69,47256STMH,1,PRIV,ACT,,,,5514.84,5520.04,,,,,6.05,,5520.89,1,3123924.23751757,1650160.14238955
70,411715STMH,1,DPUB,ACT,5/28/1998 12:00:00 AM,,,5549.18,5549.18,5549.08,,,,3.6,,5554,1,3121947.1502644,1650162.82118997
71,411716STMH,1,DPUB,ACT,5/28/1998 12:00:00 AM,,,5548.26,5548.21,,,,,4.1,,5554,1,3121970.27456197,1650165.66829713
72,481049STMH,1,PRIV,ACT,11/12/2004 12:00:00 AM,,,5567.18,5567.18,5567.08,5566.88,,,,,5572.42,1,3114482.9899959,1650173.25063105
73,47251STMH,1,PRIV,ACT,,,,5541.6,5541.9,5545.11,,,,,MANHOLE,5548,1,3122561.22712024,1650182.77784297
74,47242STMH,1,PRIV,ACT,,,,5542.24,5542.04,5546.04,,,,,MANHOLE,5548.1,1,3122582.31697306,1650235.31612371
75,47240STMH,1,PRIV,ACT,,,,,,,,,,,,5548,1,3117109.31807657,1650247.1884753
76,47238STMH,1,PRIV,ACT,7/26/2001 12:00:00 AM,,,5542.95,5543.15,5545.42,,,,,,5547.37,1,3122793.28505506,1650256.44600272
77,47233STMH,1,DPUB,ACT,,,,5564.86,,,,,,,,5572,1,3114619.46052347,1650278.69300547
78,47231STMH,1,PRIV,ACT,,,,5542.56,5542.36,,,,,,MANHOLE,5548.96,1,3122615.86119731,1650280.47515413
79,47226STMH,1,PRIV,ACT,,,,,,,,,,,,5548.53,1,3118307.36095606,1650328.60432297
80,47224STMH,1,PRIV,ACT,,,,5564,5563.64,,,,,,,5574,1,3115331.75174981,1650329.0072093
81,47222STMH,1,PRIV,ACT,,,,5556.7,5556.62,,,,,,,5568,1,3115624.98639956,1650330.56560513
82,47221STMH,1,PRIV,ACT,,,,5552.28,5552,,,,,,,5562,1,3115888.7017514,1650333.2394843
83,47220STMH,1,PRIV,ACT,,,,5550.45,5550.25,,,,,,,5558,1,3116204.68963648,1650334.44551863
84,47219STMH,1,PRIV,ACT,,,,5550.85,5550.74,,,,,,,5558.6,1,3116148.27701965,1650335.37071364
85,47216STMH,1,DPUB,ACT,,,,5514.48,5514.38,5514.58,,,,5.62,,5520,1,3123787.49828973,1650352.7571618
86,47214STMH,1,DPUB,ACT,,,,5516.65,5516.55,5517.75,,,,7.45,,5524,1,3123641.95560181,1650352.89462872
87,47211STMH,1,DPUB,ACT,,,,5513.87,5513.47,,,,,6.53,,5520,1,3123838.96669073,1650355.93792972
88,47207STMH,1,PRIV,ACT,,,,5565.49,5570.39,,,,,,,5576.42,1,3115212.27200189,1650364.74631105
89,47204STMH,1,DPUB,ACT,,,,5527.85,5527.65,,,,,6.35,,5534,1,3123332.09565723,1650394.16160655
90,47201STMH,1,DPUB,ACT,,,,5517.42,5517.32,,,,,6.68,,5524,1,3123627.11179948,1650401.23902021
91,47198STMH,1,DPUB,ACT,,,,5524.13,5524.03,,,,,5.29,,5529.32,1,3123446.47206889,1650406.10318372
92,47192STMH,1,DPUB,ACT,,,,5521.7,5521.4,,,,,5.06,,5526.46,1,3123511.73210898,1650426.69074097
93,47536STMH,1,PRIV,ACT,,,,,,,,,,,,5546,1,3117469.80324797,1650434.61067264
94,47554STMH,1,DPUB,ACT,,,,5519.83,5519.43,,,,,4.57,,5524,1,3123595.3339759,1650469.30450088
95,47545STMH,1,PRIV,ACT,,,,5539.37,5539.27,5540.19,,,,6.45,MANHOLE,5545.72,1,3123023.85021073,1650497.09053455
96,47557STMH,1,DPUB,ACT,,,,5516.07,5516.27,,,,,4.78,,5520.85,1,3123752.98097031,1650501.70108964
97,47544STMH,1,PRIV,ACT,,,,5544.34,5544.08,5544.42,,,,5.92,MANHOLE,5550,1,3122744.30811889,1650511.18860346
98,47558STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5506.23,5505.98,,,,,14.4,,5517.88,1,3123911.56398648,1650526.69283755
99,47559STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5505.51,5505.24,,,,,11.6,,5516.39,1,3123938.16563931,1650544.27023022
100,47560STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5503.78,5503.63,,,,,9.8,,5513.3,1,3124009.43747839,1650627.1719673
101,47167STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5502.68,5502.29,,,,,10.1,,5512,1,3123958.23843381,1650685.5064963
102,47164STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5500.2,5499.99,,,,,9.2,,5508.4,1,3123884.93247806,1650841.35165705
103,47162STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5499.28,5499.07,,,,,9.2,,5508,1,3123883.91574781,1650886.79021446
104,47160STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5476.55,5476.37,,,,,8.9,,5482.85,1,3124594.31557372,1650889.76593029
105,47159STMH,1,PRIV,ACT,1/9/1997 12:00:00 AM,,,5476.06,5475.95,,,,,9.5,,5482.35,1,3124608.11082172,1650903.73440629
106,47156STMH,1,PRIV,ACT,1/9/1997 12:00:00 AM,,,,,,,,,,,5479.1,1,3124719.34485123,1650924.96238221
107,47562STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5478.66,5478.89,,,,,9,,5485.55,1,3124467.32665448,1650995.41040404
108,47561STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5494.67,5494.49,,,,,9.2,,5501.08,1,3124022.83180857,1651037.99037138
109,47564STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5485.84,5485.53,,,,,9,,5492,1,3124170.01458506,1651207.1786813
110,47563STMH,1,DPUB,ACT,1/9/1997 12:00:00 AM,,,5484.59,5484.06,,,,,9.2,,5490.84,1,3124222.92261572,1651212.2574113
111,47566STMH,1,PRIV,ACT,4/29/1998 12:00:00 AM,,,5480.55,5479.21,,,,,11.6,,5491.29,1,3123909.68931831,1651272.85145022
112,47567STMH,1,PRIV,ACT,4/29/1998 12:00:00 AM,,,5477,5476.7,,,,,10.9,,5488.17,1,3123931.07247764,1651293.36682913
113,621990STMH,1,FDST,ACT,,,,5692.2,5689.7,,,,,6.34,Please verify Ownership,5696.04,1,3168986.64772065,1651359.35029297
114,47570STMH,1,DPUB,ACT,4/29/1998 12:00:00 AM,,,5498.08,5497.78,,,,,7.9,,5504,1,3123713.56602289,1651419.8711693
115,47552STMH,1,PRIV,ACT,4/29/1998 12:00:00 AM,,,5469.99,5469.84,,,,,9.25,,5474.75,1,3124185.25897714,1651449.91704096
116,47572STMH,1,DPUB,ACT,4/29/1998 12:00:00 AM,,,5503.59,,,,,,7.5,,5509.65,1,3123476.97758532,1651491.19090855
117,621980STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,4,,5676.14,5676.27,,,,,8.46,,5684.6,1,3168742.88508481,1651998.19547197
118,621981STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,6,,5671.14,5657.62,,,,,22.22,,5679.84,1,3168649.2970174,1652184.80041371
119,622078STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,4,,5666,5665.9,,,,,4.1,,5670,1,3168882.76603864,1652244.6392048
120,621982STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,9,,5656.73,5656.73,,,,,8.77,,5665.5,1,3168529.32973765,1652373.32070597
121,621983STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,6,,5656.08,5656.08,5656.56,,,,7.9,,5663.98,1,3168490.55717739,1652505.68034938
122,47582STMH,1,DPUB,ACT,,,,5634.39,5634.47,,,,,,,5641.56,1,3111510.74233148,1652519.55827439
123,47583STMH,1,DPUB,ACT,,,,5202.93,5629.87,5202.92,,,,,,5637.98,1,3111873.68583131,1652521.13209014
124,47585STMH,1,DPUB,ACT,,,,5629.23,5629,5628.95,5628.75,,,,,5637.13,1,3111921.26021123,1652521.80630139
125,47580STMH,1,DPUB,ACT,,,,5623.25,5623.12,,,,,,,5631.85,1,3112313.69249722,1652524.59369738
126,47575STMH,1,DPUB,ACT,6/11/1981 12:00:00 AM,4,,5617.87,5618.01,,,,,,,5626,1,3112701.01226065,1652525.22558588
127,47578STMH,1,DPUB,ACT,6/11/1981 12:00:00 AM,4,,5609.63,5607.66,,,,,,,5622,1,3113085.78084806,1652525.78562413
128,622077STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,6,,5655.92,5655.54,5655.64,,,,4.04,,5659.58,1,3168755.76826115,1652538.9712933
129,622076STMH,1,FDST,ACT,,,,5555.32,,,,,,102.81,Existing Manhole,5658.13,1,3168743.97563381,1652587.36063221
130,621999STMH,1,FDST,ACT,,,,5654.59,,,,,,3.58,Existing Manhole,5658.17,1,3168706.50622056,1652588.23431814
131,621998STMH,1,FDST,ACT,,,,,,,,,,,,5659.52,1,3168456.19208865,1652596.8963743
132,47121STMH,1,NDPUB,ACT,,,,,,,,,,,,5591.76,1,3165279.77061997,1652673.75416021
133,47119STMH,1,DPUB,ACT,7/1/1979 12:00:00 AM,,,5643.41,,,,,,14.04,,5657.45,1,3169662.92327099,1652688.51987872
134,47115STMH,1,NDPUB,ACT,,,,5656.5,,,,,,,,5660,1,3167350.59915549,1652696.9375128
135,621889STMH,1,FDST,ACT,,,,5653.85,,,,,,4.15,Existing Manhole,5658,1,3168702.92617522,1652700.36828022
136,47112STMH,1,DPUB,ACT,,,,5644.07,5644.02,,,,,,,5650,1,3111227.00897506,1652703.50147605
137,47110STMH,1,DPUB,ACT,,,,5642,5642.27,,,,,,,5648,1,3111380.51785439,1652704.2150573
138,47109STMH,1,DPUB,ACT,,,,5644.02,5646.27,5644.77,,,,,,5651.48,1,3111179.88997482,1652704.60252371
139,47108STMH,1,NDPUB,ACT,,,,5586.5,,,,,,,,5592.4,1,3165302.07372499,1652706.66026238
140,47106STMH,1,DPUB,ACT,6/11/1981 12:00:00 AM,4,,5617.07,5617.72,5617.7,5619.08,,,,,5624,1,3113084.34613964,1652709.72981004
141,47105STMH,1,NDPUB,ACT,,,,5603.6,,,,,,,,5608,1,3165836.68781322,1652710.94174989
142,47104STMH,1,NDPUB,ACT,,,,5617.8,,,,,,,,5621.49,1,3166173.57034156,1652712.44699621
143,47103STMH,1,NDPUB,ACT,,,,5637.9,,,,,,,,5641.82,1,3166651.74294165,1652714.24161205
144,47102STMH,1,FDST,ACT,7/1/1979 12:00:00 AM,,,5636.48,,,,,,17.52,,5654,1,3170447.74584831,1652714.57232004
145,47101STMH,1,FDST,ACT,7/1/1979 12:00:00 AM,,,5640.01,,,,,,17.99,,5658,1,3170134.59654023,1652715.46437863
146,47100STMH,1,NDPUB,ACT,,,,5647.4,,,,,,,,5650.42,1,3166943.18724065,1652715.93320972
147,47099STMH,1,FDST,ACT,7/1/1979 12:00:00 AM,,,5633.91,,,,,,16.09,,5650,1,3170626.63623856,1652717.06739379
148,47098STMH,1,NDPUB,ACT,,,,5651.5,,,,,,,,5654.35,1,3167112.97791156,1652718.1106988
149,47093STMH,1,FDST,ACT,,,,,,,,,,,,5624.42,1,3171242.88074099,1652727.26127104
150,47092STMH,1,FDST,ACT,,,,,,,,,,,,5628.35,1,3171167.93633707,1652727.75208372
151,621888STMH,1,FDST,ACT,,,,,,,,,,,Existing Manhole,5659.26,1,3168348.9806889,1652728.56605847
152,47091STMH,1,FDST,ACT,,,,,,,,,,,,5613.08,1,3171496.61940673,1652728.8882363
153,47090STMH,1,FDST,ACT,,,,,,,,,,,,5602,1,3171751.17860889,1652730.62150055
154,47086STMH,1,FDST,ACT,,,,,,,,,,,,5641.01,1,3170861.45368232,1652744.88820429
155,47084STMH,1,FDST,ACT,7/1/1979 12:00:00 AM,,,5632.54,,,,,,15.93,,5648.47,1,3170657.2752849,1652745.65493505
156,47082STMH,1,FDST,ACT,7/1/1979 12:00:00 AM,,,,,,,,,,,5629.35,1,3171144.11256582,1652747.1637903
157,47081STMH,1,FDST,ACT,,,,,,,,,,,,5634.09,1,3171030.47499782,1652747.37770063
158,47078STMH,1,DPUB,ACT,,,,5640.8,5640.65,,,,,,,5646.46,1,3111467.34576473,1652751.67395188
159,621928STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,4,,5654.41,5654.41,,,,,3.59,,5658,1,3168287.03855556,1652755.21134639
160,621867STMH,1,FDST,ACT,,,,5654.46,5654.46,5654.06,,,,4.56,Existing Manhole,5658.62,1,3168334.92461464,1652760.17065404
161,621868STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,4,,5671.97,5671.97,,,,,2.03,,5674,1,3168426.58289589,1652779.86549655
162,47072STMH,1,FDST,ACT,,,,,,,,,,,,5657.29,1,3169649.68182765,1652781.10762005
163,47071STMH,1,DPUB,ACT,,,,5616.66,,,,,,,,5625.28,1,3166259.80507722,1652782.72146197
164,47070STMH,1,DPUB,ACT,,,,5619.32,,,,,,,,5628.59,1,3166338.35774164,1652783.39829788
165,47069STMH,1,DPUB,ACT,,,,5608.42,,,,,,,,5617.06,1,3166061.88782215,1652784.44455563
166,47068STMH,1,DPUB,ACT,,,,5600.55,,,,,,,,5608.93,1,3165863.39412464,1652786.51279296
167,47067STMH,1,DPUB,ACT,,,,5595.36,5593.58,,,,,,,5600,1,3165599.65777548,1652789.40714413
168,47065STMH,1,FDST,ACT,,,,,,,,,,,,5657.6,1,3169743.53695489,1652792.64926364
169,47060STMH,1,FDST,ACT,,,,,,,,,,,,5656.34,1,3169520.6259834,1652801.8821848
170,47059STMH,1,FDST,ACT,,,,,,,,,,,,5657.39,1,3170142.05846757,1652805.03604989
171,47056STMH,1,FDST,ACT,,,,,,,,,,,,5655.21,1,3170380.63869905,1652806.42351429
172,47054STMH,1,DPUB,ACT,,,,5637.4,5637.09,,,,,,,5644,1,3111626.3008274,1652809.44286522
173,653065STMH,1,PRIV,ACT,6/10/2009 12:00:00 AM,,,5657.47,5657.32,,,,,6.1,,5663.42,1,3167454.52086365,1652811.95565547
174,47051STMH,1,FDST,ACT,7/1/1979 12:00:00 AM,,,,,,,,,,,5656.1,1,3169672.58204432,1652818.05833355
175,47050STMH,1,DPUB,ACT,,,,5639.83,5639.94,5639.92,5639.69,,,,,5646,1,3111514.37487015,1652818.37362163
176,652952STMH,1,PRIV,ACT,6/10/2009 12:00:00 AM,,,5634.37,5633.97,,,,,6.9,,5640.87,1,3166638.18752256,1652819.48319946
177,652953STMH,1,PRIV,ACT,6/10/2009 12:00:00 AM,,,5647.12,5647.27,5646.92,,,,6.35,,5653.27,1,3167038.59748289,1652819.48319946
178,653066STMH,1,PRIV,ACT,6/10/2009 12:00:00 AM,,,5655.34,5655.14,,,,,5.71,,5660.85,1,3167314.4473249,1652819.48319946
179,621926STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,5,,5666.61,5665.11,5669.22,,,,6.89,,5672,1,3168227.05311123,1652820.34966755
180,621927STMH,1,FDST,ACT,2/12/2007 12:00:00 AM,,,5655.16,5655.16,,,,,4.05,,5659.21,1,3168260.01006632,1652821.11475788
181,47047STMH,1,NDPUB,ACT,,,,5661.4,,,,,,,,5666,1,3167617.72427739,1652822.5100963
182,47044STMH,1,FDST,ACT,,,,,,,,,,,,5648,1,3170663.52264772,1652823.64428039
183,47045STMH,1,FDST,ACT,,,,,,,,,,5641.07,inverts from JBG May 2012,5641.07,1,3170858.52258581,1652823.64428039
184,47040STMH,1,PRIV,ACT,,,,,,,,,,,,5592.89,1,3165283.64790881,1652825.15215138
185,47038STMH,1,FDST,ACT,,,,5615.48,5615.33,5626.33,,,,18.1,inverts from JBG May 2012,5633.58,1,3171038.90214631,1652827.96349746
186,47037STMH,1,FDST,ACT,,,,,,,,,,,,5624.06,1,3171249.03919323,1652827.97366805
187,1417054STMH,1,PRIV,ACT,2/27/2017 12:00:00 AM,,,5659.64,5660.5,5659.39,,,,5.05,,5664.44,1,3167505.60770373,1652830.35489689
188,652880STMH,1,PRIV,ACT,6/10/2009 12:00:00 AM,,5622.18,5628.73,5610.93,5615.73,5615.28,,,11.2,,5622.18,1,3166158.57430856,1652830.61080188
189,47035STMH,1,FDST,ACT,,,,,,,,,,,,5614.18,1,3171454.90557939,1652830.79780938
190,652954STMH,1,PRIV,ACT,6/10/2009 12:00:00 AM,,,5631.09,5630.84,,,,,6.9,,5637.74,1,3166566.97047339,1652831.5514168
191,47032STMH,1,FDST,ACT,,,,,,,,,,,,5607.77,1,3171599.19597323,1652831.61539304
192,653557STMH,1,DPUB,ACT,6/10/2009 12:00:00 AM,,,5658.89,5658.34,5658.94,5657.74,,,6.1,,5663.84,1,3167454.52086365,1652832.4254308
193,47030STMH,1,DPUB,ACT,,,,5593.04,5593.16,,,,,,,5598,1,3172268.07488482,1652834.80567539
194,47027STMH,1,FDST,ACT,,,,,,,,,,,,5602,1,3171755.95156522,1652835.79615897
195,652831STMH,1,DPUB,ACT,6/10/2009 12:00:00 AM,,,5596.46,5597.71,5597.61,,,,10.8,,5607.26,1,3165805.55336106,1652837.06649764
196,47025STMH,1,DPUB,ACT,,,,5598.35,5598.96,,,,,,,5608.41,1,3172527.56058632,1652837.39851797
197,47023STMH,1,DPUB,ACT,,,,,,,,,,,,5618,1,3172774.6804989,1652839.04319972
198,47022STMH,1,DPUB,ACT,,,,5639.3,5639.12,,,,,,,5645.5,1,3111528.5864559,1652839.21708389
199,653363STMH,1,DPUB,ACT,6/10/2009 12:00:00 AM,,,5649.35,5648.5,5648.75,5647.9,,,5.3,,5653.2,1,3167038.59748289,1652839.60323797
200,47020STMH,1,DPUB,ACT,,,,5619.37,5617.87,,,,,,,5622.74,1,3173019.05402589,1652840.34273779
201,47019STMH,1,FDST,ACT,,,,5594.33,5594.18,,,,,,,5600.18,1,3171814.74803557,1652841.86930954
202,47014STMH,1,DPUB,ACT,,,,,,,,,,,,5625.45,1,3173130.26082447,1652845.4057198
203,47012STMH,1,DPUB,ACT,,,,5633.52,5633.47,5634.14,,,,,,5640,1,3111861.16387473,1652851.72624521
204,47007STMH,1,PRIV,ACT,,,,,,,,,,,,5601.4,1,3165591.0787244,1652853.27676705
205,47005STMH,1,DPUB,ACT,,,,5627.39,5631.09,5625.89,5625.69,,,9.99,,5635.68,1,3166467.39029197,1652856.13765371
206,47003STMH,1,DPUB,ACT,,,,5633.22,5632.81,5633.06,,,,,,5640,1,3111892.83244656,1652857.77577379
