OBJECTID,FACILITYID,SUBTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_FT,RIM_ELEV,INVERT1,INVERT2,INVERT3,INVERT4,INVERT5,INVERT6,DEPTH,COMMENTS,GROUNDELEVATION,ENABLED,x,y
10580,23986STMH,1,DPUB,ACT,8/1/1933 12:00:00 AM,,,5279.86,,,,,,21.68,,5301.54,1,3156677.36197181,1693745.46040246
10581,1619106STMH,1,PRIV,ACT,6/4/2020 12:00:00 AM,5,5246.05,5235.72,5235.9,,,,,8.26502832,,5243.98502832,1,3143665.13930865,1693746.15561105
10582,1655992STMH,1,PRIV,ACT,8/24/2023 12:00:00 AM,5,5209.64,5202.09,5202.04,5203.64,,,,7.6,,5209.71238734,1,3134763.39726965,1693754.8140583
10583,23968STMH,1,DPUB,ACT,12/1/1901 12:00:00 AM,,,5312.03,,,,,,15.11,,5327.14,1,3150522.94842765,1693765.02138697
10584,1655988STMH,1,PRIV,ACT,8/24/2023 12:00:00 AM,4,5209.84,5201.22,5200.98,,,,,8.86,,5209.79118238,1,3134764.65382881,1693772.56861596
10585,23958STMH,1,DPUB,ACT,5/1/1953 12:00:00 AM,,,5316.41,,,,,,13.59,,5330,1,3164191.60252073,1693788.84876713
10586,818562STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5212.32,5212.24,,,,,4.32,,5216.56,1,3133726.6798549,1693789.54495996
10587,471578STMH,1,DPUB,ACT,3/22/2005 12:00:00 AM,,,5321.18,5313.71,5313.71,,,,16.29,,5330,1,3164316.43363589,1693789.74115379
10588,23952STMH,1,DPUB,ACT,5/1/1953 12:00:00 AM,,,5317.71,,,,,,12.38,,5330.09,1,3164460.40808548,1693791.00952396
10589,815185STMH,1,DPUB,ACT,8/8/2012 12:00:00 AM,4,,5200.68,5196.96,,,,,7.6,,5204.56,1,3134404.83368231,1693806.86349489
10590,818951STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5229.85,5226.35,5226.07,,,,10.18,,5236.25,1,3133597.21685922,1693811.50981104
10591,1619053STMH,1,PRIV,ACT,6/4/2020 12:00:00 AM,4,5246.3,5239.01,5242.61,5238.95,,,,7.05,,5246,1,3143714.26191381,1693824.98419355
10592,1661395STMH,1,DPUB,ACT,7/17/2024 12:00:00 AM,,5193.97,5184.73,5184.53,,,,,9.44,Double Type P,5198,1,3135516.0502919,1693827.2036773
10593,23938STMH,1,DPUB,ACT,5/1/1953 12:00:00 AM,,,5315.8,,,,,,13.27,,5329.07,1,3163877.72814848,1693828.35984297
10594,1613480STMH,1,PRIV,ACT,7/5/2019 12:00:00 AM,,5241.77,5225.49,,,,,,3.52780627,Trash screen and orifice plates,5229.01780627,1,3142405.74976707,1693833.9635063
10595,1613479STMH,1,PRIV,ACT,7/5/2019 12:00:00 AM,,5241.77,,,,,,,0,24"" MH access in parking deck above,5228.8781379,1,3142396.72222607,1693834.05044839
10596,1613462STMH,1,PRIV,ACT,7/5/2019 12:00:00 AM,4,5229.55,5224.65,5224.43,,,,,5.12,,5229.47490321,1,3142432.24348047,1693834.69841297
10597,818953STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5221.8,5222.04,,,,,10.4,,5232.2,1,3133638.82176289,1693842.70331821
10598,819046STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5207.83,5207.63,,,,,5.62,,5213.25,1,3134509.38990365,1693880.0362488
10599,1613481STMH,1,PRIV,ACT,7/5/2019 12:00:00 AM,,5239.01,,,,,,,0,24"" MH access w/ ecc cones,5229.68288342,1,3142406.09720731,1693881.1858528
10600,23930STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,5196.13,5192.38,5184.36,5184.33,,,,11.8,,5196,1,3136128.94834431,1693883.54313155
10601,1615246STMH,1,PRIV,ACT,12/30/2019 12:00:00 AM,4,5216.3,5208.79,5208.6,,,,,7.7,,5216,1,3138505.95212048,1693886.56018588
10602,1470753STMH,1,PRIV,ACT,4/22/2018 12:00:00 AM,,5222.21,5214.2,,,,,,8.01,,5222.21,1,3142139.12858115,1693889.76621622
10603,1615249STMH,1,PRIV,ACT,12/30/2019 12:00:00 AM,4,5200.85,5197.35,5197.25,5197.24,,,,3.59,,5201.40989583,1,3138188.7139098,1693898.54113305
10604,23926STMH,1,PRIV,ACT,2/4/2000 12:00:00 AM,,,,,,,,,,,5226,1,3139671.61744006,1693909.97352488
10605,818694STMH,1,DPUB,ACT,6/27/2011 12:00:00 AM,,,5192.78,5192.78,5191.25,,,,5.75,,5197,1,3137134.17205565,1693915.14477438
10606,1619036STMH,1,PRIV,ACT,6/4/2020 12:00:00 AM,5,5235.82,5220.98,5228.59,,,,,15.04466083,Pump manhole,5236.02466083,1,3143622.96977356,1693920.17921314
10607,818661STMH,1,DPUB,ACT,,,5195.79,5186.04,5184.75,5184.15,,,,11.64,,5196,1,3136119.96312606,1693921.49384305
10608,23923STMH,1,DPUB,ACT,,,,5297.16,,,,,,,,5304.92,1,3130873.1872023,1693925.41148613
10609,23922STMH,1,PRIV,ACT,2/4/2000 12:00:00 AM,,,,,,,,,,,5223.14,1,3139245.88567998,1693936.79105654
10610,1615248STMH,1,PRIV,ACT,12/30/2019 12:00:00 AM,4,5201.78,5198.05,5197.98,,,,,3.8,,5204.30313259,1,3138213.45336165,1693943.02890496
10611,407561STMH,1,DPUB,ACT,6/10/2003 12:00:00 AM,,,5357.4,5357.22,,,,,,,5365.55,1,3169086.58518481,1693946.69720471
10612,23921STMH,1,DPUB,ACT,7/1/1957 12:00:00 AM,,,5184.41,5183.77,,,,,12.23,,5196,1,3136036.72969674,1693952.04036988
