OBJECTID,NBHD_NAME,CANOPY_ACRES,NBHD_ACRES,PCT_CANOPY,GlobalID,Shape__Area,Shape__Length
40,Jefferson Park,33.92884868,314.8567816,10.77596249,21eefadf-b252-4a3c-b542-01717c194fdd,1477934.59716797,240289.933209737
41,Kennedy,48.17239466,449.38397809,10.71965112,a120c01b-0582-48c3-9c17-9a92d0511461,2098381.13574219,312696.268654021
42,Lincoln Park,60.16663363,816.71824716,7.3668776,6f6469cd-ad75-44a3-99e9-ffc7b19d1e52,2620847.92919922,431235.936586725
43,Lowry Field,151.30232466,1650.55695764,9.16674362,f698a1e9-b394-4122-bfc7-1893d27e9ace,6590702.89990234,1350616.34701277
44,Mar Lee,170.97486476,964.76348959,17.72194601,5b9ba0e5-5e43-4890-9d8f-08900d4d876b,7447635.30957031,1165154.31945694
45,Marston,196.87146684,2028.94570863,9.70314119,da9feda1-cc2a-4cba-95e4-19b7383ed0a1,8575686.56005859,1430552.50268997
46,Montbello,341.58833493,3239.65326867,10.54397822,07a5d39d-ebbd-45e6-a15b-c0142eb897ef,14879528.4428711,2527218.27297212
47,Montclair,189.90401475,647.97061785,29.307504,a78a7d6c-6665-4610-b793-feac654a087f,8272185.94433594,1126627.00360913
48,North Capitol Hill,28.95033773,225.64563156,12.83000142,c4000d45-ad14-494f-938e-ce926b9f1dfa,1261071.66259766,181791.174495684
49,North Park Hill,213.03621297,956.42876687,22.27413273,98e1a94c-f06f-46de-81f9-c4859f2ede5f,9279820.17382813,1408968.59223488
50,Northeast Park Hill,116.47235046,2131.48781099,5.46436859,86932744-a3ea-4bfb-b5c5-025a31768e89,5073515.04052734,834301.506616902
51,Overland,61.72734842,718.6536087,8.58930473,45c37be1-8e08-49c9-b5e3-741d1b9c0326,2688832.47412109,453795.859996514
52,Platt Park,121.97358815,523.75085099,23.28847541,16353415-9ff1-4c00-9cfd-8a2dd4cfcb80,5313148.56054688,810575.147987434
53,Regis,108.25203449,652.43661505,16.59196188,94014516-ffb1-4f8f-8085-389ac7ff5fa7,4715439.80224609,717699.432337502
