OBJECTID,FACILITYID,SUBTYPE,UNITTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_INCHES,FLAPGATE,TRASH_RACK,INVERT1,INVERT2,INVERT3,GROUNDELEVATION,ENABLED,x,y
2295,748550STOF,1,Flared End Section,DPUB,ACT,6/8/2005 12:00:00 AM,18,,,5204.65,,,,1,3136561.37267631,1700114.73342505
2296,551965STOF,2,Headwall,DPUB,ACT,,,,,5308.01,,,,1,3171067.4083229,1700117.96406163
2297,468883STOF,1,Flared End Section,DPUB,ACT,7/7/2004 12:00:00 AM,,,,5295.52,,,,1,3174188.87091199,1700118.85874487
2298,407705STOF,2,Headwall,DPUB,ACT,6/6/2003 12:00:00 AM,,,,,,,,1,3174569.9643099,1700192.09022571
2299,1659770STOF,3,Other,PRIV,ACT,,,,,,,,,1,3138233.29748206,1700193.06463322
2300,16136STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3125686.09226157,1700199.17157638
2301,16120STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3125699.68147323,1700208.59183313
2302,720199STOF,1,Flared End Section,DPUB,ACT,4/15/2003 12:00:00 AM,,,,5310.94,,,,1,3171076.66683456,1700209.5432748
2303,813896STOF,3,Other,DPUB,ACT,4/15/2003 12:00:00 AM,,,,5305.91,5305.1,,,1,3171961.88356806,1700213.90973589
2304,748476STOF,1,Flared End Section,DPUB,ACT,6/8/2005 12:00:00 AM,18,,,5210.84,,,,1,3136401.61840264,1700214.23256989
2305,494454STOF,3,Other,PRIV,ACT,6/30/2006 12:00:00 AM,,,,5303,,,,1,3134528.02142806,1700221.70598014
2306,494449STOF,1,Flared End Section,PRIV,ACT,6/30/2006 12:00:00 AM,,,,5304.41,,,,1,3134526.99780807,1700339.84583572
2307,494450STOF,1,Flared End Section,PRIV,ACT,6/30/2006 12:00:00 AM,,,,5304,,,,1,3134509.70519173,1700343.71492246
2308,15933STOF,2,Headwall,DPUB,ACT,4/11/1991 12:00:00 AM,,,,5172.4,,,,1,3138526.28016381,1700369.17451721
2309,15909STOF,1,Flaired End Section,PRIV,ACT,11/6/2000 12:00:00 AM,12,,,5185.2,,,,1,3138023.65977798,1700409.51597196
2310,15898STOF,1,Flaired End Section,PRIV,ACT,11/6/2000 12:00:00 AM,12,,,5184.8,,,,1,3138033.44715998,1700434.32530555
2311,15894STOF,2,Headwall,DPUB,ACT,,,,,,,,,1,3138381.93990131,1700435.03232513
2312,748675STOF,1,Flared End Section,DPUB,ACT,6/8/2005 12:00:00 AM,18,,,5210.2,,,,1,3136897.76012689,1700493.94362463
2313,1474889STOF,2,Headwall,DPUB,ACT,6/18/2020 12:00:00 AM,36,,,5331.2,,,,1,3183507.00877173,1700525.56364013
2314,748469STOF,1,Flared End Section,DPUB,ACT,6/8/2005 12:00:00 AM,,,,5241.89,,,,1,3136283.8519059,1700564.94774772
2315,748671STOF,1,Flared End Section,DPUB,ACT,6/8/2005 12:00:00 AM,,,,5198.42,,,,1,3136912.81751148,1700631.58573779
2316,1440604STOF,1,Flared End Section,OCCD,ACT,,,,,,,,,1,3219498.86624981,1700646.78616671
2317,1440605STOF,1,Flared End Section,OCCD,ACT,,,,,,,,,1,3219506.22975214,1700647.35276663
2318,708776STOF,3,Other,PRIV,ACT,,,,,,,,,1,3138551.99992864,1700684.00000305
2319,748667STOF,1,Flared End Section,DPUB,ACT,6/8/2005 12:00:00 AM,18,,,5198.65,,,,1,3136965.53033257,1700707.04752913
2320,1444550STOF,2,Headwall,DPKS,ACT,,,,,,,,,1,3138838.81464373,1700773.14352556
2321,1440607STOF,1,Flared End Section,OCCD,ACT,,,,,,,,,1,3219505.66315223,1700790.65562963
2322,1440606STOF,1,Flared End Section,OCCD,ACT,,,,,,,,,1,3219497.16710623,1700791.22190146
2323,565584STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5167,,,,1,3138758.98540705,1700793.10313129
2324,708774STOF,2,Headwall,DPKS,ACT,,,,,,,,,1,3138825.77300315,1700813.70381188
2325,1659970STOF,3,Other,PRIV,ACT,8/21/2023 12:00:00 AM,8,,0,5360.6,,,5360.6,1,3130345.50846764,1700816.1975733
2326,1440608STOF,1,Flared End Section,OCCD,ACT,,,,,,,,,1,3219477.34234273,1700832.57024397
2327,1440609STOF,1,Flared End Section,OCCD,ACT,,,,,,,,,1,3219485.8387168,1700833.70311572
2328,1440610STOF,1,Flared End Section,OCCD,ACT,,,,,,,,,1,3219453.55302022,1700876.7506018
2329,1440611STOF,1,Flared End Section,OCCD,ACT,,,,,,,,,1,3219461.48279439,1700879.58261713
2330,15428STOF,2,Headwall,PRIV,ACT,10/18/1999 12:00:00 AM,,,,5166.22,,,,1,3138682.24999623,1700880.49993813
2331,496337STOF,2,Headwall,PRIV,ACT,6/13/2006 12:00:00 AM,,,,5258,,,,1,3136328.40791914,1700946.66811289
2332,496338STOF,3,Other,PRIV,ACT,6/13/2006 12:00:00 AM,,,,5258.5,,,,1,3136395.40811323,1700946.95551388
2333,565609STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5174.47,5177,,,1,3139062.01728131,1701057.28862655
2334,1474906STOF,2,Headwall,OCCD,ACT,9/12/2020 12:00:00 AM,24,,,5298.47,,,,1,3183482.61118273,1701072.65014438
2335,1629931STOF,3,Other,PRIV,ACT,4/16/2021 12:00:00 AM,10,0,0,5204.2,,,,1,3144982.77774948,1701093.5710343
2336,812524STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5174.43,5171.85,,,1,3139048.40969698,1701099.2737788
2337,471023STOF,1,Flared End Section,PRIV,ACT,12/17/2003 12:00:00 AM,,,,5215.9,,,,1,3137524.85828215,1701118.32754646
2338,615881STOF,3,Other,PRIV,ACT,1/31/2008 12:00:00 AM,,,,5199,,,,1,3143622.42548332,1701120.76848647
2339,615886STOF,3,Other,PRIV,ACT,1/31/2008 12:00:00 AM,,,,5199,,,,1,3143610.08266023,1701125.66447406
2340,615887STOF,3,Other,PRIV,ACT,1/31/2008 12:00:00 AM,,,,5199,,,,1,3143621.4395929,1701136.93512081
2341,615750STOF,3,Other,PRIV,ACT,1/31/2008 12:00:00 AM,,,,5197.38,,,,1,3143666.26758723,1701149.7539928
2342,812525STOF,2,Headwall,DPUB,ACT,8/19/1999 12:00:00 AM,,,,5171.8,5169.4,,,1,3139034.84279498,1701159.82811964
2343,615910STOF,3,Other,PRIV,ACT,1/31/2008 12:00:00 AM,,,,5199,,,,1,3143648.19019556,1701163.48198372
2344,1659945STOF,3,Other,PRIV,ACT,8/21/2023 12:00:00 AM,8,,,5366.24,,,5366.24,1,3130327.76473673,1701167.5728548
