OBJECTID,FACILITYID,SUBTYPE,UNITKIND,OWNER,LIFECYCLESTATUS,INSTALLDATE,LENGTH,MULTIINLETCOUNT,RIM_ELEV,INVERT1,INVERT2,GROUNDELEVATION,ENABLED,x,y
13069,29665STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3130470.28938606,1687402.8267623
13070,29662STIL,3,UNKN,DPUB,ACT,,,2,,,,,1,3131471.64237022,1687404.6535303
13071,29661STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3130752.23370406,1687404.76212588
13072,29659STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3153474.23714449,1687406.46619071
13073,29657STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3130082.77900623,1687407.30477172
13074,29656STIL,3,UNKN,DPUB,ACT,,,1,,5289.74,,,1,3129463.5742079,1687408.02196188
13075,29655STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3153811.67478982,1687408.0649408
13076,29666STIL,98,UNKN,DPUB,ACT,10/22/1993 12:00:00 AM,,1,,5206.5,,,1,3137936.66093622,1687408.11907455
13077,29654STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3130511.37788656,1687408.15516372
13078,892087STIL,2,NO14,DPUB,ACT,8/4/2015 12:00:00 AM,36,12,,5294,,,1,3152422.37638731,1687409.90778488
13079,29653STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3152378.57430956,1687412.34905297
13080,29652STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3154829.8344989,1687412.82018062
13081,643985STIL,99,OTHR,PRIV,ACT,1/6/2009 12:00:00 AM,,1,5383.93,5381.64,,,1,3172413.42465973,1687413.73750164
13082,414872STIL,3,NO16,DPUB,ACT,12/2/2002 12:00:00 AM,,1,,5323.28,,,1,3155132.91558565,1687415.32739347
13083,414858STIL,3,NO16,DPUB,ACT,12/2/2002 12:00:00 AM,,1,,5334.35,5334.22,,1,3155430.75357264,1687416.13480654
13084,414866STIL,3,NO16,DPUB,ACT,12/2/2002 12:00:00 AM,,1,,5342.36,,,1,3155824.65370348,1687418.09215172
13085,29648STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3162168.84409906,1687418.13152172
13086,29646STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3130848.38803931,1687418.81393504
13087,643912STIL,99,OTHR,PRIV,ACT,1/6/2009 12:00:00 AM,,1,5384.78,5380.44,5380.34,,1,3172722.96177031,1687418.85921055
13088,414860STIL,3,NO16,DPUB,ACT,12/2/2002 12:00:00 AM,,1,,5334.64,,,1,3155471.53072207,1687419.12725464
13089,694424STIL,2,NO14,DPUB,ACT,5/20/2009 12:00:00 AM,6,2,5391.72,5387.61,5387.48,,1,3171004.41796331,1687419.20894738
13090,29643STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3156443.55732131,1687419.76012738
13091,1456562STIL,2,NO14,CDOT,ACT,10/1/2012 12:00:00 AM,6,2,5261.37,5257.79,,,1,3133505.3082504,1687420.47469288
13092,29642STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3162501.64625497,1687421.47141005
13093,29640STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3156150.61893082,1687422.33098838
13094,29639STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3156116.47792298,1687423.22731204
13095,29638STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3156493.60873039,1687423.85362314
13096,29637STIL,3,UNKN,PRIV,ACT,,,1,,,,,1,3152415.69464214,1687424.05637863
13097,414886STIL,3,NO16,DPUB,ACT,12/2/2002 12:00:00 AM,,1,,5374.09,5373.99,,1,3157119.91653289,1687424.20237571
13098,414890STIL,3,UNKN,DPUB,ACT,12/2/2002 12:00:00 AM,,2,,5367.9,,,1,3156832.19532356,1687425.78997096
13099,414884STIL,3,NO16,DPUB,ACT,12/2/2002 12:00:00 AM,,1,,5275.63,,,1,3157174.00205465,1687427.49666047
13100,414888STIL,2,NO14,DPUB,ACT,12/2/2002 12:00:00 AM,,2,,5367.18,5366.71,,1,3156794.33877198,1687429.09508246
13101,638572STIL,2,NO14,DPUB,ACT,12/3/2007 12:00:00 AM,6,2,5423.18,5418.68,,,1,3175654.56187823,1687429.51207638
13102,29629STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3131153.47601181,1687430.17283621
13103,414864STIL,3,NO16,DPUB,ACT,12/2/2002 12:00:00 AM,,1,,5342.25,,,1,3155807.30826573,1687432.33096838
13104,29628STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3152418.36425623,1687432.64658456
13105,29627STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3152711.72751464,1687436.63279705
13106,414863STIL,3,NO16,DPUB,ACT,12/2/2002 12:00:00 AM,,1,,5342.35,,,1,3155779.09014632,1687436.73056588
13107,29626STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3153742.31370807,1687437.12853096
13108,29625STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3153774.84087397,1687437.20923947
13109,29624STIL,3,UNKN,DPUB,ACT,8/1/1923 12:00:00 AM,,1,,,,,1,3152747.87245548,1687437.87492055
13110,29623STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3153088.08995089,1687438.1928333
