OBJECTID,FACILITYID,SUBTYPE,UNITKIND,OWNER,LIFECYCLESTATUS,INSTALLDATE,LENGTH,MULTIINLETCOUNT,RIM_ELEV,INVERT1,INVERT2,GROUNDELEVATION,ENABLED,x,y
1,47414STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3114960.22985506,1648896.78435196
2,47412STIL,3,UNKN,DPUB,ACT,,,1,,5560.52,,,1,3114946.7922179,1648970.99319305
3,47411STIL,98,UNKN,DPUB,ACT,,,1,,5511.49,,,1,3123519.32559773,1648987.78974739
4,47409STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3121169.92019156,1648991.74676047
5,47403STIL,2,NO14,DPUB,ACT,1/10/1996 12:00:00 AM,,2,,5538.89,,,1,3121138.03081964,1649029.40711822
6,47402STIL,98,UNKN,DPUB,ACT,3/21/1997 12:00:00 AM,,1,,5513.39,,,1,3123519.44239539,1649035.3090093
7,48220STIL,3,NO16,PRIV,ACT,8/11/1998 12:00:00 AM,,1,,5543.7,,,1,3120508.28273532,1649072.50644146
8,47399STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3123846.8354414,1649073.28170238
9,48219STIL,3,NO16,PRIV,ACT,8/11/1998 12:00:00 AM,,1,,5544.68,,,1,3120501.92021523,1649092.71670288
10,47395STIL,2,NO14,DPUB,ACT,1/10/1996 12:00:00 AM,,2,,5543.35,,,1,3121198.99821739,1649136.15165538
11,47394STIL,2,NO14,DPUB,ACT,1/10/1996 12:00:00 AM,,2,,5547.04,,,1,3121564.92169814,1649145.89966738
12,47389STIL,2,NO14,DPUB,ACT,10/31/1996 12:00:00 AM,,2,,5527.1,,,1,3122636.49665473,1649158.27825154
13,47387STIL,98,UNKN,DPUB,ACT,3/21/1997 12:00:00 AM,,1,,5516.26,,,1,3123517.54180865,1649166.86812939
14,47386STIL,3,UNKN,DPUB,ACT,1/10/1996 12:00:00 AM,,1,,5542.98,,,1,3121198.78529131,1649172.00689863
15,47385STIL,98,UNKN,DPUB,ACT,10/31/1996 12:00:00 AM,,1,,5527.01,,,1,3122692.84070215,1649177.40288521
16,47383STIL,2,NO14,DPUB,ACT,10/31/1996 12:00:00 AM,,2,,5526.51,,,1,3122611.13384455,1649184.80346097
17,47380STIL,98,UNKN,DPUB,ACT,3/21/1997 12:00:00 AM,,1,,5516.65,,,1,3123517.41319998,1649202.70959313
18,47376STIL,2,NO14,DPUB,ACT,10/31/1996 12:00:00 AM,,2,,5527.74,,,1,3122645.62655772,1649237.85716063
19,47373STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3114822.5227814,1649262.05593114
20,47371STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3114603.41626422,1649279.75996396
21,47370STIL,98,UNKN,DPUB,ACT,10/31/1996 12:00:00 AM,,1,,5525.52,,,1,3122734.6349099,1649281.87806997
22,47366STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3114796.42900155,1649316.7887613
23,47365STIL,98,UNKN,PRIV,ACT,,,1,,5528.55,,,1,3122798.57703923,1649328.58335713
24,47360STIL,98,UNKN,PRIV,ACT,7/26/2001 12:00:00 AM,,1,,5529.95,,,1,3122887.91741173,1649405.45885955
25,47358STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3113666.90140498,1649448.2786558
26,47355STIL,2,NO14,DPUB,ACT,3/21/1997 12:00:00 AM,,2,,5519.62,,,1,3123628.16757165,1649470.46725972
27,47353STIL,2,NO14,DPUB,ACT,3/21/1997 12:00:00 AM,,2,,5519.48,,,1,3123664.46474315,1649474.18838088
28,47349STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3115023.49153957,1649591.40468188
29,47346STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3115023.61621124,1649619.4535103
30,47343STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3113847.60904881,1649674.50228472
31,47342STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3113991.6307424,1649675.57380489
32,47341STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3114174.38562623,1649677.19748929
33,47340STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116714.47733082,1649686.50915046
34,47329STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116706.28541806,1649757.34365447
35,481045STIL,98,UNKN,PRIV,ACT,11/12/2004 12:00:00 AM,,1,,5564.75,5566.65,,1,3114360.47908606,1649827.5475823
36,47322STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116245.55668072,1649854.3231193
37,47321STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3122259.62798589,1649854.80901071
38,47319STIL,98,UNKN,PRIV,ACT,,,1,,5546.05,,,1,3119581.6569639,1649869.66035897
39,47318STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116546.23718172,1649871.84637822
40,47317STIL,98,UNKN,DPUB,ACT,,,1,,5561.43,,,1,3114813.99852023,1649872.51304355
41,47316STIL,98,UNKN,PRIV,ACT,7/26/2001 12:00:00 AM,,1,,5543.2,,,1,3122591.50068173,1649874.67839354
42,47311STIL,98,UNKN,DPUB,ACT,,,1,,5542.75,5542.55,,1,3122374.28425264,1649883.29845504
43,47308STIL,1,OTHR,PRIV,ACT,,,2,,,,,1,3117405.87752281,1649888.82272221
44,47309STIL,98,UNKN,PRIV,ACT,,,1,,5545.69,,,1,3119560.42111398,1649890.74332204
45,47306STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3122276.86679657,1649899.79087614
46,47305STIL,98,UNKN,DPUB,ACT,5/6/1997 12:00:00 AM,,1,,5553.6,,,1,3121220.00047198,1649901.01101805
47,47303STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3121414.35835098,1649902.49690747
48,47302STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116527.93177214,1649905.84631021
49,47297STIL,98,UNKN,DPUB,ACT,,,1,,5543.44,5543.24,,1,3122325.0215559,1649913.05233255
50,47301STIL,98,UNKN,PRIV,ACT,7/26/2001 12:00:00 AM,,1,,5540.83,,,1,3122809.63836882,1649914.4981958
51,47299STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116276.87551573,1649916.0474053
52,47298STIL,98,UNKN,PRIV,ACT,,,1,,5541.69,,,1,3119430.31212223,1649919.65533772
53,47291STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116198.14109315,1649951.0473353
54,47287STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116557.93171215,1649965.84619021
55,47283STIL,98,UNKN,DPUB,ACT,,,2,,5564.7,,,1,3114022.35869931,1649982.86354463
56,47281STIL,98,UNKN,DPUB,ACT,,,1,,5567.2,,,1,3113746.72736081,1650009.80673222
57,47279STIL,2,NO14,DPUB,ACT,5/6/1997 12:00:00 AM,,2,,5553.81,,,1,3121201.9706524,1650025.22205572
58,47276STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3115743.67218581,1650028.31161647
59,47275STIL,2,NO14,DPUB,ACT,5/6/1997 12:00:00 AM,,2,,5553.84,,,1,3121245.67266473,1650031.36935313
60,47273STIL,98,UNKN,PRIV,ACT,,,1,,5545.83,,,1,3119442.5115729,1650063.07434222
61,47272STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116627.93157214,1650072.54381147
62,47271STIL,2,NO14,DPUB,ACT,5/6/1997 12:00:00 AM,,2,,5553.77,,,1,3121239.92366047,1650083.08381663
63,47269STIL,98,UNKN,PRIV,ACT,,,1,,5546.27,,,1,3119440.11295564,1650092.87021439
64,47268STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3115920.50516547,1650103.73731863
65,47267STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3117088.85026973,1650109.98435338
66,47265STIL,2,NO14,PRIV,ACT,,,2,,,,,1,3123995.1281238,1650116.11655897
67,47264STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3123622.95137472,1650120.15067163
68,411724STIL,98,UNKN,DPUB,ACT,5/29/1998 12:00:00 AM,,2,,5545.48,5545.43,,1,3122287.36710365,1650123.29206955
69,47263STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116649.62641065,1650125.19987413
70,411721STIL,3,NO16,DPUB,ACT,5/29/1998 12:00:00 AM,,1,,5550.43,,,1,3121783.68897715,1650125.39278713
71,47261STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3123924.27590331,1650135.61750421
72,411723STIL,98,UNKN,DPUB,ACT,5/29/1998 12:00:00 AM,,2,,5546.57,,,1,3122262.96721806,1650143.01611146
73,47257STIL,98,UNKN,DPUB,ACT,,,2,,5566.9,,,1,3114189.98959765,1650148.66340989
74,481050STIL,98,UNKN,PRIV,ACT,11/12/2004 12:00:00 AM,,1,,5567.45,,,1,3114482.63304123,1650164.25721072
75,481051STIL,98,UNKN,PRIV,ACT,11/12/2004 12:00:00 AM,,1,,5567.47,,,1,3114570.62433507,1650165.24047646
76,411722STIL,3,NO16,DPUB,ACT,5/29/1998 12:00:00 AM,,1,,5549.38,,,1,3121943.84055972,1650168.99014089
77,47252STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3123924.27590331,1650180.06164105
78,47250STIL,98,UNKN,PRIV,ACT,,,1,,5545.2,,,1,3122551.30030282,1650186.2594633
79,47249STIL,98,UNKN,PRIV,ACT,,,1,,5543.8,,,1,3122846.04643248,1650215.54450971
80,47241STIL,98,UNKN,PRIV,ACT,,,1,,5547.5,,,1,3122594.79168564,1650237.64059412
81,47239STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116709.3792439,1650248.54739647
82,47237STIL,98,UNKN,DPUB,ACT,,,1,,5567.1,,,1,3113671.13039914,1650256.56378463
83,47236STIL,98,UNKN,DPUB,ACT,,,2,,5568,,,1,3113923.95043156,1650258.25013296
84,47235STIL,98,UNKN,PRIV,ACT,,,1,,5545.44,,,1,3122801.02749364,1650262.09855047
85,481052STIL,98,UNKN,PRIV,ACT,11/12/2004 12:00:00 AM,,1,,5564.48,,,1,3114603.11016248,1650283.34653947
86,47229STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116736.91363764,1650306.76644014
87,47228STIL,2,NO14,PRIV,ACT,,,2,,,,,1,3115885.69847657,1650323.30872989
88,47227STIL,2,NO14,PRIV,ACT,,,2,,,,,1,3116148.27701965,1650325.37106171
89,47223STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3114616.09766932,1650330.12630154
90,47218STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3123620.68825589,1650351.86641555
91,47213STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3123657.25150298,1650353.96319613
92,47212STIL,98,UNKN,DPUB,ACT,,,1,,5514.22,,,1,3123825.25313547,1650354.47500613
93,47208STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3117035.17518023,1650362.64854622
94,47206STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3118299.28682522,1650371.18002522
95,47205STIL,98,UNKN,PRIV,ACT,,,1,,5545.07,,,1,3122736.50826573,1650386.0543393
96,47203STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3118263.04542789,1650397.67406672
97,47202STIL,98,UNKN,DPUB,ACT,,,1,,5534.41,,,1,3123134.62459548,1650400.94308905
98,47200STIL,98,UNKN,PRIV,ACT,,,2,,,,,1,3115884.06363732,1650402.81972572
99,47199STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116146.51127514,1650405.53986463
100,47196STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3117595.58842948,1650411.73604646
101,47195STIL,98,UNKN,DPUB,ACT,1/9/1997 12:00:00 AM,,1,,5507.73,,,1,3123901.89963573,1650414.32265547
102,47194STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3118305.96332106,1650415.89154996
103,47193STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116965.0421184,1650423.45124613
104,47540STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3116140.75767773,1650432.24748838
105,47542STIL,2,NO14,PRIV,ACT,,,2,,,,,1,3118192.94287781,1650445.1998903
106,47537STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3115213.72606723,1650447.2254768
107,47539STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3115885.59545839,1650447.97449104
108,47546STIL,98,UNKN,PRIV,ACT,,,3,,5540.59,,,1,3122978.65804389,1650490.98457563
109,47543STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3118188.03015798,1650492.81134363
110,47555STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3123559.96396789,1650495.29198171
111,47556STIL,98,UNKN,DPUB,ACT,,,1,,5516.87,,,1,3123769.97667123,1650511.01964055
112,47548STIL,98,UNKN,PRIV,ACT,,,1,,5545.88,,,1,3122707.63857281,1650569.10581046
113,47551STIL,98,UNKN,PRIV,ACT,,,1,,5546.73,,,1,3122608.79034531,1650676.12364104
114,47168STIL,98,UNKN,PRIV,ACT,,,1,,5544.14,,,1,3122961.16365631,1650685.35853072
115,47165STIL,98,UNKN,PRIV,ACT,,,1,,5547.52,,,1,3122603.88287482,1650784.43936931
116,47163STIL,98,UNKN,DPUB,ACT,1/9/1997 12:00:00 AM,,1,,5476.8,,,1,3124595.77587265,1650866.70035963
117,47161STIL,3,UNKN,DPUB,ACT,1/9/1997 12:00:00 AM,,1,,5477.14,,,1,3124616.68134265,1650889.74132405
118,47154STIL,2,NO14,DPUB,ACT,1/9/1997 12:00:00 AM,,2,,5480.29,,,1,3124441.90610164,1650967.06400405
119,621979STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5682.69,,,1,3169097.50609472,1651273.96037188
120,621978STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5682.3,5682.3,,1,3169064.76731506,1651346.58096156
121,47565STIL,2,NO14,DPUB,ACT,4/29/1998 12:00:00 AM,,2,,5495.2,,,1,3123793.35457723,1651366.77383454
122,47569STIL,2,NO14,DPUB,ACT,4/29/1998 12:00:00 AM,,2,,,,,1,3123734.00856732,1651368.92015572
123,622075STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5688.2,,,1,3169250.17245606,1651389.63730589
124,47573STIL,98,UNKN,DPUB,ACT,4/29/1998 12:00:00 AM,,1,,5503.98,,,1,3123459.44874898,1651477.73555489
125,621977STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5681.32,5681.32,,1,3168976.67005031,1651526.34700622
126,622074STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5686.74,5683,,1,3169185.68111522,1651556.7291633
127,621976STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5680.79,5680.79,,1,3168929.05006681,1651625.15881647
128,622073STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5678.12,5678.22,,1,3169126.07526331,1651702.32368839
129,621975STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5680.31,5680.29,,1,3168886.19188482,1651713.85122438
130,622072STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5676.1,5676,,1,3169063.53798681,1651851.82699829
131,622086STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5674.01,,,1,3168821.56242089,1651911.56966096
132,621988STIL,98,UNKN,FDST,ACT,,,1,,5679.2,,,1,3168713.54590465,1651983.41006847
133,621974STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5676.45,5676.33,,1,3168746.56814831,1651991.83393613
134,621987STIL,98,UNKN,FDST,ACT,,,1,,5679.06,,,1,3168738.4051069,1651995.83983363
135,622069STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5670,,,1,3168915.34832256,1652085.61688505
136,622071STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5672.74,5672.64,,1,3168941.39453031,1652124.45046879
137,622085STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5672.92,5672.92,,1,3168708.77032365,1652158.30243522
138,622068STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5662,5662,,1,3168857.69686306,1652209.71440588
139,621973STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5656.96,5656.96,,1,3168565.58360215,1652319.9284243
140,622084STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5671.83,5671.83,,1,3168618.88894174,1652357.45131513
141,622067STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5661.16,5661.16,,1,3168787.07889406,1652365.33843847
142,621972STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5656.59,5656.59,,1,3168562.9467964,1652395.73207846
143,622070STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5657.58,5657.48,,1,3168847.89242072,1652410.75435813
144,622065STIL,2,NO14,FDST,ACT,2/12/2007 12:00:00 AM,,2,,5656.19,5655.84,,1,3168830.1175219,1652471.69025989
145,622066STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5660.32,5660.32,,1,3168714.6981333,1652519.85945489
146,1446180STIL,3,NO13,DPUB,ACT,,,1,,,,,1,3115025.98267631,1652524.42014129
147,47581STIL,98,UNKN,DPUB,ACT,,,1,,5634.85,,,1,3111510.80926047,1652526.90734105
148,622083STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5670.78,5670.78,,1,3168540.46291748,1652528.40208872
149,47584STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3111862.16321656,1652529.61599705
150,47574STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3112701.18680097,1652534.7035853
151,47577STIL,3,UNKN,DPUB,ACT,,,3,,,,,1,3113030.55195589,1652535.13632722
152,47586STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3111938.61975656,1652563.67564021
153,47579STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3113115.11116998,1652567.76651129
154,621971STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5655.61,,,1,3168431.11438289,1652584.25237072
155,47123STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3169637.84884606,1652642.57935379
156,47120STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3171860.42215681,1652675.93886714
157,47118STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3171790.29893748,1652689.38142554
158,47117STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3111179.70362347,1652689.69901021
159,47114STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3113054.63031982,1652697.3292443
160,47113STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3171036.68167831,1652699.94964588
161,47107STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3169764.94275197,1652708.08939338
162,47097STIL,98,UNKN,DPUB,ACT,,,1,,5644.2,,,1,3111223.26390381,1652723.52210529
163,47096STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3170855.35100423,1652723.73043822
164,47095STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3170683.49734531,1652723.99224871
165,47094STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3171020.06458557,1652725.96468571
166,47089STIL,98,UNKN,DPUB,ACT,,,2,,,,,1,3113069.4731379,1652732.27668096
167,47088STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3172529.5766584,1652737.81669614
168,47087STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3172781.82090457,1652740.77994479
169,1460860STIL,3,NO13,DPUB,ACT,,,2,,,,,1,3172047.53333114,1652743.69660564
170,47085STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3111163.52222539,1652744.99778414
171,47083STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3171236.16093814,1652745.88164063
172,47079STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3173119.22278881,1652749.85768256
173,47077STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3113134.2564729,1652752.29402938
174,47076STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3170142.10177456,1652753.92821246
175,47075STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3173032.61469431,1652754.4019648
176,622018STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5663,,,1,3168608.40438265,1652762.77563572
177,47074STIL,98,UNKN,NDPUB,ACT,,,1,,,,,1,3167113.21117881,1652763.83337638
178,47073STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3173231.59297089,1652764.61355855
179,621929STIL,2,NO14,FDST,ACT,2/12/2007 12:00:00 AM,,2,,5654.55,5654.55,,1,3168255.85325047,1652781.53347221
180,622019STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5656.63,5656.53,,1,3168669.1316234,1652785.41043296
181,47063STIL,2,NO14,NDPUB,ACT,,,2,,,,,1,3166670.36560781,1652797.16139372
182,47062STIL,98,UNKN,FDST,ACT,,,1,,,,,1,3169299.45319739,1652799.23094338
183,47061STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3165841.36857815,1652801.69025604
184,47058STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3111519.99526572,1652806.02226838
185,47057STIL,98,UNKN,NDPUB,ACT,,,1,,,,,1,3167354.0948834,1652806.41859305
186,47055STIL,98,UNKN,NDPUB,ACT,,,1,,,,,1,3167631.70686097,1652807.2089458
187,47053STIL,3,UNKN,FDST,ACT,,,1,,,,,1,3169740.0267913,1652810.39168222
188,635443STIL,2,NO14,DPUB,ACT,2/1/2008 12:00:00 AM,6,2,5635.2,5630.99,,,1,3166466.86995181,1652814.14101855
189,47049STIL,3,UNKN,FDST,ACT,,,1,,,,,1,3170373.63182332,1652818.46745346
190,47048STIL,98,UNKN,NDPUB,ACT,,,1,,5662.6,,,1,3167804.09234297,1652822.01567471
191,47046STIL,3,NO13,DPUB,ACT,,,1,,,,,1,3172235.90401739,1652823.5396218
192,47043STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3111489.99138872,1652823.92577589
193,887273STIL,99,OTHR,PRIV,ACT,3/10/2015 12:00:00 AM,,1,5646,5641.42,,,1,3166717.9248959,1652824.04913521
194,887271STIL,99,OTHR,PRIV,ACT,3/10/2015 12:00:00 AM,,1,5647.33,5642.64,,,1,3166752.92384164,1652824.22137897
195,47041STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3172531.65506631,1652824.27551271
196,887275STIL,99,OTHR,PRIV,ACT,3/10/2015 12:00:00 AM,,1,5644.67,5640.2,,,1,3166682.92693439,1652824.43102421
197,887277STIL,99,OTHR,PRIV,ACT,3/10/2015 12:00:00 AM,,1,5642,5638.98,,,1,3166647.94767365,1652824.89919913
198,47039STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3172783.18015382,1652826.82111129
199,653650STIL,2,NO14,DPUB,ACT,6/10/2009 12:00:00 AM,6,2,,5658.77,5658.77,,1,3167487.16154639,1652827.75089946
200,635442STIL,2,NO14,DPUB,ACT,2/1/2008 12:00:00 AM,6,2,5635.86,5631.66,,,1,3166517.26880114,1652828.54879813
201,621902STIL,98,UNKN,NDPUB,ACT,,,1,,5669.27,,,1,3168213.26606531,1652828.62196071
202,47036STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3173017.06124772,1652828.94381046
203,47034STIL,3,UNKN,FDST,ACT,,,1,,,,,1,3170733.90013164,1652831.08061722
204,47033STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3173121.63256089,1652831.46545896
205,593725STIL,98,UNKN,PRIV,ACT,1/16/2007 12:00:00 AM,,1,5664.98,5662.44,5660.73,,1,3168904.24762298,1652831.46709938
206,47031STIL,3,UNKN,FDST,ACT,,,1,,,,,1,3171028.37329598,1652833.34111138
207,47029STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3111854.2865919,1652835.10390313
208,653649STIL,2,NO14,DPUB,ACT,6/10/2009 12:00:00 AM,6,2,,5659.56,,,1,3167442.91688423,1652835.15114713
209,47028STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3173243.09852532,1652835.74333754
210,47026STIL,3,UNKN,FDST,ACT,,,1,,,,,1,3171442.21367565,1652837.07601205
211,47018STIL,3,NO13,DPUB,ACT,,,1,,,,,1,3172043.80302365,1652842.41556829
212,653379STIL,2,NO14,DPUB,ACT,6/10/2009 12:00:00 AM,6,2,,5649.68,,,1,3167028.76515348,1652844.73282088
213,47016STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3173205.98606673,1652845.16917172
214,653378STIL,2,NO14,DPUB,ACT,6/10/2009 12:00:00 AM,6,2,,5649.48,5649.28,,1,3167073.13973665,1652846.42737129
215,47013STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3172690.02121939,1652851.60288589
216,47010STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3172536.44639531,1652852.3033438
217,47009STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3172839.72137931,1652852.8958623
218,1418611STIL,3,NO16,PRIV,ACT,8/23/2013 12:00:00 AM,,1,5657,5653.5,,,1,3170052.20037957,1652858.70424964
219,1443807STIL,1,OTHR,PRIV,ACT,8/23/2013 12:00:00 AM,,1,5655.3,5652.3,,,1,3170132.19398598,1652859.72983813
220,47001STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3111848.09762789,1652869.34366405
221,660488STIL,99,OTHR,PRIV,ACT,6/5/2009 12:00:00 AM,,1,5664.8,5660.05,,,1,3168984.07259457,1652869.8407103
222,635484STIL,2,NO14,DPUB,ACT,2/1/2008 12:00:00 AM,15,5,,,,,1,3166457.30960348,1652872.76130813
223,635487STIL,2,NO14,DPUB,ACT,2/1/2008 12:00:00 AM,15,5,,,,,1,3166457.10520756,1652874.69568746
224,47000STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3171046.37129147,1652879.88727812
225,46999STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3171452.49843198,1652881.49882346
226,635439STIL,2,NO14,DPUB,ACT,2/1/2008 12:00:00 AM,18,6,5636.73,5629.71,5629.81,,1,3166557.00362982,1652889.66612996
227,1443806STIL,1,OTHR,PRIV,ACT,8/23/2013 12:00:00 AM,,1,5654.5,5651.13,,,1,3170174.15978131,1652902.61197022
228,46991STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3165809.53957357,1652906.41708072
229,46990STIL,98,UNKN,PRIV,ACT,,,1,,,,,1,3165757.52753848,1652909.38721913
230,622017STIL,98,UNKN,FDST,ACT,2/12/2007 12:00:00 AM,,1,,5667.76,,,1,3168539.12007239,1652914.31765546
231,46986STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3166462.51103665,1652927.71132946
232,46983STIL,98,UNKN,DPUB,ACT,,,3,,,,,1,3165732.79366407,1652929.98855588
233,46979STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3170570.02283473,1652931.4862563
234,593724STIL,98,UNKN,PRIV,ACT,1/16/2007 12:00:00 AM,,1,,5667.03,,,1,3168701.89664973,1652934.81334938
235,46974STIL,3,NO16,DPUB,ACT,,,1,,,,,1,3171942.95808098,1652943.39633746
236,46972STIL,3,NO13,DPUB,ACT,,,1,,,,,1,3171844.82048197,1652945.06464122
237,1443805STIL,1,OTHR,PRIV,ACT,8/23/2013 12:00:00 AM,,1,5653.5,5649.96,,,1,3170216.12557665,1652945.49377422
238,46971STIL,3,NO13,DPUB,ACT,8/23/2013 12:00:00 AM,,1,,,,,1,3170471.64048555,1652946.78117321
239,46969STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3173169.84604715,1652961.49669497
240,46968STIL,3,UNKN,DPUB,ACT,,,2,,,,,1,3165634.07076439,1652962.92877871
